,Unnamed: 0,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,full-name
41,41,25,59115685,2014,1,ATIVO,2016,1,7.3,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
42,42,26,59290000,2014,1,ATIVO,2014,2,1.1,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
43,43,26,59290000,2014,1,ATIVO,2015,1,0.3,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
44,44,26,59290000,2014,1,ATIVO,2015,2,6.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
45,45,27,59040240,2014,1,ATIVO,2014,1,5.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
46,46,28,59149356,2014,1,CANCELADO,2014,2,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
47,47,29,59063280,2014,1,CANCELADO,2015,1,1.9,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
48,48,29,59063280,2014,1,CANCELADO,2015,2,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
49,49,30,59094300,2014,1,ATIVO,2014,2,6.8,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
50,50,31,59020400,2014,1,ATIVO,2014,2,8.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
51,51,32,59106114,2014,1,CANCELADO,2015,1,1.3,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
52,52,33,59122495,2014,1,ATIVO,2014,2,7.5,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
53,53,34,51011480,2014,1,ATIVO,2014,2,0.2,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
54,54,34,51011480,2014,1,ATIVO,2015,1,5.3,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
55,55,35,59068310,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
56,56,35,59068310,2014,1,CANCELADO,2015,1,5.5,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
57,57,36,0,2014,1,CANCELADO,2016,2,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
58,58,37,59037250,2014,1,ATIVO,2014,2,0.3,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
59,59,37,59037250,2014,1,ATIVO,2015,2,0.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
60,60,37,59037250,2014,1,ATIVO,2016,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
61,61,37,59037250,2014,1,ATIVO,2016,2,0.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
62,62,38,59124090,2014,1,ATIVO,2014,2,7.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
63,63,39,59090310,2014,1,ATIVO,2014,2,6.0,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
64,64,40,0,2014,1,CANCELADO,2014,1,1.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
65,65,41,59151250,2014,1,ATIVO,2014,2,7.7,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
66,66,42,59347000,2014,1,ATIVO,2014,2,1.4,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
67,67,42,59347000,2014,1,ATIVO,2015,1,5.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
68,68,43,59145580,2014,1,CANCELADO,2014,2,0.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
69,69,43,59145580,2014,1,CANCELADO,2015,1,7.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
70,70,44,59151903,2014,1,CANCELADO,2014,2,1.8,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
71,71,44,59151903,2014,1,CANCELADO,2015,2,2.9,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
