,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
69,43,59145580,2014,1,CANCELADO,2015,1,7.4,0,Aprovado,2039,0,680,630
70,44,59151903,2014,1,CANCELADO,2014,2,1.8,0,Reprovado,2041,0,760,656
71,44,59151903,2014,1,CANCELADO,2015,2,2.9,0,Reprovado,2041,0,760,656
72,44,59151903,2014,1,CANCELADO,2016,1,0,0,Reprovado,2041,0,760,656
73,45,59650000,2014,1,ATIVO,2014,2,9.3,0,Aprovado,2232,0,760,687
74,46,59094390,2014,1,CANCELADO,2014,2,0.7,0,Reprovado,2026,0,680,636
75,46,59094390,2014,1,CANCELADO,2015,1,7.9,0,Aprovado,2026,0,680,636
76,47,59088310,2014,1,ATIVO,2016,1,5.6,0,Aprovado,1955,0,900,658
77,48,59150160,2014,1,ATIVO,2014,2,0.6,0,Reprovado,2203,0,460,619
78,48,59150160,2014,1,ATIVO,2015,1,6.1,0,Aprovado,2203,0,460,619
79,49,59074120,2014,1,CANCELADO,2015,1,0,0,Reprovado,2011,0,580,617
80,50,59073143,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,1858,0,540,606
81,51,59460000,2014,1,CANCELADO,2014,1,7.4,0,Aprovado,2408,0,720,682
82,52,59120520,2014,1,CANCELADO,2014,2,0,0,Reprovado,2039,0,680,613
83,53,59068570,2014,1,CANCELADO,2015,1,0,0,Reprovado,2017,0,760,645
84,53,59068570,2014,1,CANCELADO,2016,1,0,0,Reprovado,2017,0,760,645
85,54,59037390,2014,1,ATIVO,2015,1,7.9,0,Aprovado,1745,0,680,602
86,55,59082070,2014,1,ATIVO,2014,2,7.1,0,Aprovado,2262,0,560,652
87,56,59114020,2014,1,CANCELADO,2015,1,7.5,0,Aprovado,2099,0,740,631
88,57,59149300,2014,1,ATIVO,2014,2,1.1,0,Reprovado,2101,0,680,653
89,57,59149300,2014,1,ATIVO,2015,1,5.9,0,Aprovado,2101,0,680,653
90,58,59073140,2014,1,CONCLUIDO,2014,1,8,0,Aprovado,2255,0,960,744
91,59,59150300,2014,1,CANCELADO,2014,2,7.6,0,Aprovado,1962,0,600,642
92,60,59148630,2014,1,ATIVO,2014,2,8.7,0,Aprovado,2309,0,740,694
93,61,59151400,2014,1,ATIVO,2014,2,5.1,0,Aprovado,2223,0,600,668
94,61,59151400,2014,1,ATIVO,2015,1,8.1,0,Aprovado,2223,0,600,668
95,62,59090500,2014,1,ATIVO,2014,2,8.1,0,Aprovado,2349,0,780,730
96,63,59115555,2014,1,ATIVO,2014,2,9.9,0,Aprovado,2255,0,1000,757
97,64,59141300,2014,1,ATIVO,2014,2,1.9,0,Reprovado,1954,0,640,622
98,64,59141300,2014,1,ATIVO,2015,1,6.1,0,Aprovado,1954,0,640,622
99,65,59014020,2014,1,CANCELADO,2014,2,8.5,0,Aprovado,2173,0,720,684
100,66,59080470,2014,1,CANCELADO,2014,2,1.5,0,Reprovado,2272,0,640,707
101,66,59080470,2014,1,CANCELADO,2015,1,0.9,0,Reprovado,2272,0,640,707
102,66,59080470,2014,1,CANCELADO,2015,2,2.8,0,Reprovado,2272,0,640,707
103,67,59132694,2014,1,CANCELADO,2014,2,1.5,0,Reprovado,2104,0,440,611
104,68,85980000,2014,1,CANCELADO,2015,1,0,0,Reprovado,2331,0,640,660
105,69,53240210,2014,1,ATIVO,2014,2,0.2,0,Reprovado,2129,0,720,656
106,69,53240210,2014,1,ATIVO,2016,1,1.6,0,Reprovado,2129,0,720,656
107,70,59022500,2014,1,ATIVO,2014,1,9.2,0,Aprovado,2424,0,720,698
108,71,59062530,2014,1,ATIVO,2014,1,4.7,0,Reprovado,675,0,660,594
109,71,59062530,2014,1,ATIVO,2014,2,7.1,0,Aprovado,675,0,660,594
110,72,59054220,2014,1,ATIVO,2014,2,7.8,0,Aprovado,2319,0,620,708
111,73,0,2014,1,ATIVO,2014,1,6.6,0,Aprovado,0,0,0,
112,74,6321200,2014,1,ATIVO,2014,2,7.6,0,Aprovado,2115,0,600,644
